user,dataID,filename,Question_1_1_1,Question_2_1_1,Question_2_2_1,Question_3_1_1,Question_3_2_1,Question_4_1_1,Question_4_2_1,Question_4_3_1,Question_4_4_1_5_2_1,Question_5_3_1,Question_5_5_1,Question_6_1_1,Question_6_4_1,Question_6_5_1_5_4_1,Question_6_6_1_5_1_1,Question_7_1_1,Question_7_2_1,Question_8_1_1,Question_9_1_1,Question_9_2_1,message
203,2,Schubert_D935_no.3_4bars_1_25.wav,3.0,4.0,6.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,,
203,3,Beethoven_WoO80_var27_8bars_1_15.wav,2.0,3.0,5.0,5.0,3.0,2.0,4.0,3.0,5.0,6.0,3.0,2.0,5.0,6.0,2.0,3.0,6.0,3.0,4.0,,
203,4,Beethoven_WoO80_var15_8bars_Score_10.wav,1.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,4.0,2.0,4.0,1.0,4.0,5.0,1.0,1.0,,
203,5,Beethoven_WoO80_var25_8bars_1_14.wav,1.0,4.0,6.0,4.0,3.0,2.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,,
203,6,Beethoven_WoO80_var30_8bars_1_17.wav,2.0,1.0,5.0,5.0,4.0,2.0,3.0,6.0,3.0,2.0,1.0,5.0,2.0,5.0,1.0,4.0,4.0,2.0,3.0,,
203,7,Beethoven_WoO80_var3_8bars_22_2.wav,2.0,5.0,3.0,4.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,2.0,6.0,6.0,4.0,4.0,3.0,5.0,5.0,,
203,8,Schubert_D935_no.3_4bars_9_5.wav,5.0,6.0,3.0,5.0,4.0,5.0,6.0,4.0,2.0,1.0,5.0,3.0,5.0,3.0,6.0,3.0,5.0,6.0,5.0,,
203,9,Beethoven_WoO80_var28_8bars_26_16.wav,5.0,3.0,2.0,6.0,5.0,5.0,6.0,2.0,1.0,2.0,5.0,3.0,6.0,6.0,5.0,3.0,2.0,4.0,6.0,,
203,10,Schubert_D935_no.3_4bars_Score_33.wav,2.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,6.0,5.0,1.0,3.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,,
203,11,Beethoven_WoO80_thema_8bars_18_1.wav,5.0,2.0,6.0,2.0,1.0,2.0,4.0,5.0,6.0,3.0,4.0,3.0,3.0,5.0,2.0,5.0,2.0,2.0,3.0,,
203,12,Schubert_D935_no.3_4bars_Score_9.wav,1.0,2.0,5.0,6.0,6.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,,
203,13,Schubert_D935_no.3_4bars_12_33.wav,6.0,5.0,2.0,5.0,4.0,3.0,4.0,3.0,5.0,6.0,5.0,1.0,5.0,2.0,5.0,4.0,5.0,3.0,1.0,,
203,14,Schubert_D935_no.3_4bars_3_42.wav,4.0,2.0,5.0,5.0,4.0,1.0,2.0,4.0,6.0,6.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,2.0,,
203,15,Beethoven_WoO80_var17_8bars_14_11.wav,5.0,4.0,2.0,5.0,5.0,6.0,5.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,6.0,5.0,,
203,16,Beethoven_WoO80_var23_8bars_2_13.wav,1.0,6.0,3.0,4.0,3.0,2.0,5.0,6.0,3.0,2.0,2.0,3.0,5.0,6.0,3.0,5.0,3.0,4.0,5.0,,
203,17,Schubert_D935_no.3_4bars_12_50.wav,5.0,2.0,5.0,2.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,5.0,4.0,5.0,3.0,5.0,2.0,3.0,4.0,,
203,18,Schubert_D935_no.3_4bars_6_9.wav,3.0,5.0,3.0,4.0,3.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,,
